Pending Making - 19,Pending in QC - 478,Accepted in QC - 511 / 1000,Making Completed - 981,,Total - 13/09/2025,Today QC - 0,Total QC - 612,Reject Reason,Rework date,Comment,,Report = Batch 3 - 1000,,,Not Started,377
jid_acb179,my_ref_jid_acb179,my_client_jid_abc179,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb180,my_ref_jid_acb180,my_client_jid_abc180,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb181,my_ref_jid_acb181,my_client_jid_abc181,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror dfrnd SH is dfrlso wrong,,,,,,,,
jid_acb182,my_ref_jid_acb182,my_client_jid_abc182,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb183,my_ref_jid_acb183,my_client_jid_abc183,Done,8/22/2025,Mahi,12/09/2025,Rejected,for SH using R group thdfrt is retrror Just usret S dfrtom,,,,,,,,
jid_acb184,my_ref_jid_acb184,my_client_jid_abc184,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb185,my_ref_jid_acb185,my_client_jid_abc185,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb186,my_ref_jid_acb186,my_client_jid_abc186,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb187,my_ref_jid_acb187,my_client_jid_abc187,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,two parenthesis,,,,,,
jid_acb188,my_ref_jid_acb188,my_client_jid_abc188,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb189,my_ref_jid_acb189,my_client_jid_abc189,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb190,my_ref_jid_acb190,my_client_jid_abc190,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb191,my_ref_jid_acb191,my_client_jid_abc191,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb192,my_ref_jid_acb192,my_client_jid_abc192,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb193,my_ref_jid_acb193,my_client_jid_abc193,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
